Tabelle: 12711-0008
Migration between Germany and foreign countries:;;;;;;;;;
Germany, years, nationality, countries of origin /;;;;;;;;;
destination;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;
;Germans;;;;;;Foreigners;;;;;;Total;;;;;
;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
Austria;6202;e;13336;e;-7134;e;10626;e;10713;e;-87;e;16828;e;24049;e;-7221;e
Poland;12131;e;13711;e;-1580;e;119177;e;118727;e;450;e;131308;e;132438;e;-1130;e
Portugal;734;e;966;e;-232;e;5766;e;6700;e;-934;e;6500;e;7666;e;-1166;e
Romania;628;e;917;e;-289;e;47014;e;37113;e;9901;e;47642;e;38030;e;9612;e
Slovakia;190;e;271;e;-81;e;8638;e;9212;e;-574;e;8828;e;9483;e;-655;e
Sweden;727;e;2410;e;-1683;e;2397;e;2569;e;-172;e;3124;e;4979;e;-1855;e
Spain;7891;e;9245;e;-1354;e;9497;e;10368;e;-871;e;17388;e;19613;e;-2225;e
Czechia;668;e;986;e;-318;e;6604;e;7096;e;-492;e;7272;e;8082;e;-810;e
Hungary;772;e;1132;e;-360;e;25100;e;21365;e;3735;e;25872;e;22497;e;3375;e
Cyprus;124;e;189;e;-65;e;176;e;167;e;9;e;300;e;356;e;-56;e
2009;;;;;;;;;;;;;;;;;;
Belgium;1981;e;2429;e;-448;e;2523;e;2641;e;-118;e;4504;e;5070;e;-566;e
Bulgaria;283;e;287;e;-4;e;28607;e;19653;e;8954;e;28890;e;19940;e;8950;e
Denmark;929;e;1667;e;-738;e;2228;e;2603;e;-375;e;3157;e;4270;e;-1113;e
Estonia;59;e;70;e;-11;e;849;e;622;e;227;e;908;e;692;e;216;e
Finland;301;e;411;e;-110;e;1859;e;2252;e;-393;e;2160;e;2663;e;-503;e
France;6245;e;7317;e;-1072;e;13820;e;14841;e;-1021;e;20065;e;22158;e;-2093;e
Croatia;361;e;581;e;-220;e;8832;e;11769;e;-2937;e;9193;e;12350;e;-3157;e
Slovenia;83;e;218;e;-135;e;1448;e;1826;e;-378;e;1531;e;2044;e;-513;e
Greece;993;e;1495;e;-502;e;8716;e;16433;e;-7717;e;9709;e;17928;e;-8219;e
Ireland;988;e;953;e;35;e;1378;e;1582;e;-204;e;2366;e;2535;e;-169;e
Italy;2816;e;3277;e;-461;e;22110;e;25149;e;-3039;e;24926;e;28426;e;-3500;e
Latvia;83;e;72;e;11;e;4847;e;2230;e;2617;e;4930;e;2302;e;2628;e
Lithuania;138;e;112;e;26;e;4439;e;3134;e;1305;e;4577;e;3246;e;1331;e
Luxembourg;590;e;827;e;-237;e;2462;e;1606;e;856;e;3052;e;2433;e;619;e
Malta;61;e;104;e;-43;e;77;e;68;e;9;e;138;e;172;e;-34;e
Netherlands;2966;e;3906;e;-940;e;9800;e;7894;e;1906;e;12766;e;11800;e;966;e
Austria;6569;e;11818;e;-5249;e;10969;e;10756;e;213;e;17538;e;22574;e;-5036;e
Poland;11846;e;12049;e;-203;e;110951;e;110580;e;371;e;122797;e;122629;e;168;e
Portugal;753;e;887;e;-134;e;6598;e;7753;e;-1155;e;7351;e;8640;e;-1289;e
Romania;686;e;840;e;-154;e;55741;e;43310;e;12431;e;56427;e;44150;e;12277;e
Slovakia;162;e;221;e;-59;e;8396;e;7930;e;466;e;8558;e;8151;e;407;e
Sweden;1040;e;2100;e;-1060;e;2472;e;2758;e;-286;e;3512;e;4858;e;-1346;e
Spain;8248;e;7836;e;412;e;11711;e;10782;e;929;e;19959;e;18618;e;1341;e
Czechia;780;e;978;e;-198;e;6445;e;6608;e;-163;e;7225;e;7586;e;-361;e
